destination,country,continent,population,cost_index,safety_index,climate,activities,style,has_beaches,has_mountains,is_urban,is_safe,is_expensive
"Queenstown, New Zealand",New Zealand,Oceania,15000,85.0,95.0,Temperate,"['Bungee jumping', 'Skydiving', 'Hiking', 'Rafting']",Adventure,False,False,False,True,False
"Patagonia, Chile",Chile,South America,100000,70.0,90.0,Cold,"['Trekking', 'Glacier hiking', 'Wildlife watching']",Adventure,False,True,False,True,False
Iceland,Iceland,Europe,350000,120.0,98.0,Cold,"['Glacier tours', 'Northern lights', 'Volcano visits']",Adventure,False,True,False,True,True
Costa Rica,Costa Rica,Central America,5100000,75.0,85.0,Tropical,"['Zip-lining', 'Surfing', 'Rainforest trekking']",Adventure,False,False,True,False,False
Bhutan,Bhutan,Asia,770000,65.0,92.0,Mountain,"['Trekking', 'Buddhist temples', 'Cultural immersion']",Adventure,False,True,False,True,False
"Bali, Indonesia",Indonesia,Asia,4200000,55.0,80.0,Tropical,"['Beach lounging', 'Spa treatments', 'Yoga retreats']",Relaxation,True,False,True,False,False
"Santorini, Greece",Greece,Europe,15000,90.0,88.0,Mediterranean,"['Sunset watching', 'Wine tasting', 'Beach relaxation']",Relaxation,True,False,False,True,False
Maldives,Maldives,Asia,540000,140.0,85.0,Tropical,"['Snorkeling', 'Private villas', 'Spa resorts']",Relaxation,False,False,False,False,True
"Hawaii, USA",USA,North America,1400000,110.0,87.0,Tropical,"['Beach activities', 'Volcano tours', 'Luau experiences']",Relaxation,True,False,True,True,True
"Phuket, Thailand",Thailand,Asia,420000,60.0,82.0,Tropical,"['Island hopping', 'Massage', 'Beach bars']",Relaxation,True,False,False,False,False
"Paris, France",France,Europe,2161000,95.0,85.0,Temperate,"['Museums', 'Historical sites', 'Fine dining']",Culture,False,False,True,False,False
"Tokyo, Japan",Japan,Asia,13929000,100.0,98.0,Temperate,"['Temples', 'Modern culture', 'Cuisine exploration']",Culture,False,False,True,True,False
"Rome, Italy",Italy,Europe,2873000,85.0,83.0,Mediterranean,"['Ancient ruins', 'Art galleries', 'Food tours']",Culture,False,False,True,False,False
"Barcelona, Spain",Spain,Europe,1620000,80.0,86.0,Mediterranean,"['Gaudi architecture', 'Beaches', 'Nightlife']",Culture,True,False,True,True,False
"Berlin, Germany",Germany,Europe,3769000,75.0,84.0,Temperate,"['Historical sites', 'Street art', 'Nightlife']",Culture,False,False,True,False,False
"Bangkok, Thailand",Thailand,Asia,10539000,50.0,78.0,Tropical,"['Street food', 'Temples', 'Markets']",Budget,False,False,True,False,False
"Lisbon, Portugal",Portugal,Europe,505500,65.0,89.0,Mediterranean,"['Historic trams', 'Beaches', 'Fado music']",Budget,True,False,False,True,False
"Mexico City, Mexico",Mexico,North America,9209944,55.0,70.0,Temperate,"['Museums', 'Street food', 'Markets']",Budget,False,False,True,False,False
"Hanoi, Vietnam",Vietnam,Asia,8054000,45.0,81.0,Tropical,"['Street food', 'Temples', 'Motorbike tours']",Budget,False,False,True,False,False
"Budapest, Hungary",Hungary,Europe,1752000,55.0,87.0,Continental,"['Thermal baths', 'Historic sites', 'Nightlife']",Budget,False,False,True,True,False
"Dubai, UAE",UAE,Asia,3331000,130.0,91.0,Desert,"['Luxury shopping', 'Desert safaris', 'Fine dining']",Luxury,False,False,True,True,True
Monaco,Monaco,Europe,39000,150.0,95.0,Mediterranean,"['Casino', 'Yachting', 'Luxury resorts']",Luxury,False,False,False,True,True
"St. Moritz, Switzerland",Switzerland,Europe,5000,160.0,97.0,Alpine,"['Skiing', 'Luxury spas', 'Fine dining']",Luxury,False,True,False,True,True
"Beverly Hills, USA",USA,North America,34000,140.0,88.0,Mediterranean,"['Celebrity spotting', 'Luxury shopping', 'Spas']",Luxury,False,False,False,True,True
"Capri, Italy",Italy,Europe,14000,120.0,90.0,Mediterranean,"['Luxury villas', 'Boat tours', 'Fine dining']",Luxury,False,False,False,True,True
"Orlando, USA",USA,North America,307573,90.0,85.0,Subtropical,"['Theme parks', 'Family resorts', 'Water parks']",Family,False,False,False,False,False
"Vancouver, Canada",Canada,North America,630000,95.0,92.0,Temperate,"['Outdoor activities', 'Aquariums', 'Family tours']",Family,False,False,False,True,False
"Sydney, Australia",Australia,Oceania,5312000,100.0,90.0,Temperate,"['Beaches', 'Zoo', 'Harbor cruises']",Family,True,False,True,True,False
"Amsterdam, Netherlands",Netherlands,Europe,900000,95.0,88.0,Temperate,"['Canals', 'Museums', 'Bike tours']",Family,False,False,False,True,False
"Cape Town, South Africa",South Africa,Africa,4337000,70.0,75.0,Mediterranean,"['Beaches', 'Safari', 'Table Mountain']",Family,True,False,True,False,False
Costa Rica Variant 1,Costa Rica,Central America,7398642,81.47688538100692,92.61514928204012,Tropical,"['Zip-lining', 'Surfing', 'Rainforest trekking']",Adventure,False,False,True,True,False
"Patagonia, Chile Variant 2",Chile,South America,65599,85.79212815507391,93.83717364576455,Cold,"['Trekking', 'Glacier hiking', 'Wildlife watching']",Adventure,False,True,False,True,False
Bhutan Variant 3,Bhutan,Asia,1131830,60.30525614065048,94.71280021792982,Mountain,"['Trekking', 'Buddhist temples', 'Cultural immersion']",Adventure,False,True,True,True,False
Costa Rica Variant 4,Costa Rica,Central America,3485363,77.41962271566034,75.43359877671101,Tropical,"['Zip-lining', 'Surfing', 'Rainforest trekking']",Adventure,False,False,True,False,False
Costa Rica Variant 5,Costa Rica,Central America,2667618,50.608941849439766,88.01720612519065,Tropical,"['Zip-lining', 'Surfing', 'Rainforest trekking']",Adventure,False,False,True,True,False
Costa Rica Variant 6,Costa Rica,Central America,7516153,72.48956031914223,84.18066441752615,Tropical,"['Zip-lining', 'Surfing', 'Rainforest trekking']",Adventure,False,False,True,False,False
Iceland Variant 7,Iceland,Europe,308861,119.75544822505934,99.77775658561217,Cold,"['Glacier tours', 'Northern lights', 'Volcano visits']",Adventure,False,True,False,True,True
Bhutan Variant 8,Bhutan,Asia,852809,58.99746149894088,96.73719910523319,Mountain,"['Trekking', 'Buddhist temples', 'Cultural immersion']",Adventure,False,True,False,True,False
Bhutan Variant 9,Bhutan,Asia,562788,72.79192634515005,86.49451121825084,Mountain,"['Trekking', 'Buddhist temples', 'Cultural immersion']",Adventure,False,True,False,True,False
Costa Rica Variant 10,Costa Rica,Central America,5075402,83.22544912103189,78.89578175014489,Tropical,"['Zip-lining', 'Surfing', 'Rainforest trekking']",Adventure,False,False,True,False,False
"Patagonia, Chile Variant 11",Chile,South America,92515,73.22999797278298,83.03291529563649,Cold,"['Trekking', 'Glacier hiking', 'Wildlife watching']",Adventure,False,True,False,False,False
Bhutan Variant 12,Bhutan,Asia,1131580,67.18638316053863,96.40880519474305,Mountain,"['Trekking', 'Buddhist temples', 'Cultural immersion']",Adventure,False,True,True,True,False
Costa Rica Variant 13,Costa Rica,Central America,2780659,64.90914657134893,77.08352893231556,Tropical,"['Zip-lining', 'Surfing', 'Rainforest trekking']",Adventure,False,False,True,False,False
"Patagonia, Chile Variant 14",Chile,South America,103969,74.60816300148637,90.42961735815408,Cold,"['Trekking', 'Glacier hiking', 'Wildlife watching']",Adventure,False,True,False,True,False
Costa Rica Variant 15,Costa Rica,Central America,5317750,78.24083969394795,83.07458859791842,Tropical,"['Zip-lining', 'Surfing', 'Rainforest trekking']",Adventure,False,False,True,False,False
"Queenstown, New Zealand Variant 16",New Zealand,Oceania,7734,66.24323227793482,88.1660893055685,Temperate,"['Bungee jumping', 'Skydiving', 'Hiking', 'Rafting']",Adventure,False,False,False,True,False
Iceland Variant 17,Iceland,Europe,244594,129.30584400771102,100.0,Cold,"['Glacier tours', 'Northern lights', 'Volcano visits']",Adventure,False,True,False,True,True
Iceland Variant 18,Iceland,Europe,200915,111.60782476777362,96.45393812074393,Cold,"['Glacier tours', 'Northern lights', 'Volcano visits']",Adventure,False,True,False,True,True
"Queenstown, New Zealand Variant 19",New Zealand,Oceania,16849,80.2082576215471,94.07170511668092,Temperate,"['Bungee jumping', 'Skydiving', 'Hiking', 'Rafting']",Adventure,False,False,False,True,False
Bhutan Variant 20,Bhutan,Asia,946796,73.34795419230429,93.48280692164485,Mountain,"['Trekking', 'Buddhist temples', 'Cultural immersion']",Adventure,False,True,False,True,False
"Queenstown, New Zealand Variant 21",New Zealand,Oceania,13243,75.6623715908795,98.9210409382697,Temperate,"['Bungee jumping', 'Skydiving', 'Hiking', 'Rafting']",Adventure,False,False,False,True,False
Iceland Variant 22,Iceland,Europe,357956,116.013616099848,97.69567956262627,Cold,"['Glacier tours', 'Northern lights', 'Volcano visits']",Adventure,False,True,False,True,True
Bhutan Variant 23,Bhutan,Asia,540323,64.4018273633833,96.80586883209178,Mountain,"['Trekking', 'Buddhist temples', 'Cultural immersion']",Adventure,False,True,False,True,False
Bhutan Variant 24,Bhutan,Asia,776599,62.80328112162488,93.78556285755873,Mountain,"['Trekking', 'Buddhist temples', 'Cultural immersion']",Adventure,False,True,False,True,False
Bhutan Variant 25,Bhutan,Asia,800677,81.22920499341373,96.11866538487571,Mountain,"['Trekking', 'Buddhist temples', 'Cultural immersion']",Adventure,False,True,False,True,False
Costa Rica Variant 26,Costa Rica,Central America,7291458,80.01448331524806,90.79093326466014,Tropical,"['Zip-lining', 'Surfing', 'Rainforest trekking']",Adventure,False,False,True,True,False
Costa Rica Variant 27,Costa Rica,Central America,6648727,88.71862133549777,85.87776646977416,Tropical,"['Zip-lining', 'Surfing', 'Rainforest trekking']",Adventure,False,False,True,True,False
Costa Rica Variant 28,Costa Rica,Central America,4367118,72.4181520146366,87.30477807710147,Tropical,"['Zip-lining', 'Surfing', 'Rainforest trekking']",Adventure,False,False,True,True,False
Iceland Variant 29,Iceland,Europe,324487,122.96120277064576,99.30527636089944,Cold,"['Glacier tours', 'Northern lights', 'Volcano visits']",Adventure,False,True,False,True,True
Iceland Variant 30,Iceland,Europe,321093,116.04483548419707,96.55431571765028,Cold,"['Glacier tours', 'Northern lights', 'Volcano visits']",Adventure,False,True,False,True,True
Costa Rica Variant 31,Costa Rica,Central America,3795040,70.16877321248707,82.15085825800799,Tropical,"['Zip-lining', 'Surfing', 'Rainforest trekking']",Adventure,False,False,True,False,False
"Queenstown, New Zealand Variant 32",New Zealand,Oceania,13557,84.8451665998822,94.8631177720742,Temperate,"['Bungee jumping', 'Skydiving', 'Hiking', 'Rafting']",Adventure,False,False,False,True,False
Costa Rica Variant 33,Costa Rica,Central America,3834089,55.812287847009586,84.86743062275391,Tropical,"['Zip-lining', 'Surfing', 'Rainforest trekking']",Adventure,False,False,True,False,False
"Queenstown, New Zealand Variant 34",New Zealand,Oceania,22466,80.58233976773987,94.57917457409411,Temperate,"['Bungee jumping', 'Skydiving', 'Hiking', 'Rafting']",Adventure,False,False,False,True,False
"Queenstown, New Zealand Variant 35",New Zealand,Oceania,17015,88.38022658875141,100.0,Temperate,"['Bungee jumping', 'Skydiving', 'Hiking', 'Rafting']",Adventure,False,False,False,True,False
"Patagonia, Chile Variant 36",Chile,South America,148565,77.67296838706405,84.25103711252821,Cold,"['Trekking', 'Glacier hiking', 'Wildlife watching']",Adventure,False,True,False,False,False
Iceland Variant 37,Iceland,Europe,304379,127.27833114165867,94.9046531982252,Cold,"['Glacier tours', 'Northern lights', 'Volcano visits']",Adventure,False,True,False,True,True
Bhutan Variant 38,Bhutan,Asia,871875,70.8685709380027,100.0,Mountain,"['Trekking', 'Buddhist temples', 'Cultural immersion']",Adventure,False,True,False,True,False
"Queenstown, New Zealand Variant 39",New Zealand,Oceania,9760,104.33839800928118,95.40485402972284,Temperate,"['Bungee jumping', 'Skydiving', 'Hiking', 'Rafting']",Adventure,False,False,False,True,True
Iceland Variant 40,Iceland,Europe,381812,104.49336568933867,98.34281487403014,Cold,"['Glacier tours', 'Northern lights', 'Volcano visits']",Adventure,False,True,False,True,True
Costa Rica Variant 41,Costa Rica,Central America,7346668,79.28012840989427,72.65150567466202,Tropical,"['Zip-lining', 'Surfing', 'Rainforest trekking']",Adventure,False,False,True,False,False
"Queenstown, New Zealand Variant 42",New Zealand,Oceania,17635,76.62418608236885,98.3859303279105,Temperate,"['Bungee jumping', 'Skydiving', 'Hiking', 'Rafting']",Adventure,False,False,False,True,False
"Patagonia, Chile Variant 43",Chile,South America,75794,80.43860610918658,92.63224080667348,Cold,"['Trekking', 'Glacier hiking', 'Wildlife watching']",Adventure,False,True,False,True,False
"Queenstown, New Zealand Variant 44",New Zealand,Oceania,15249,85.62824599733183,97.50798182673086,Temperate,"['Bungee jumping', 'Skydiving', 'Hiking', 'Rafting']",Adventure,False,False,False,True,False
Iceland Variant 45,Iceland,Europe,241047,129.64810582328434,92.67584423568498,Cold,"['Glacier tours', 'Northern lights', 'Volcano visits']",Adventure,False,True,False,True,True
Iceland Variant 46,Iceland,Europe,474713,129.2066671571307,96.8663877222532,Cold,"['Glacier tours', 'Northern lights', 'Volcano visits']",Adventure,False,True,False,True,True
Costa Rica Variant 47,Costa Rica,Central America,2979113,77.93072473298682,81.42824290986816,Tropical,"['Zip-lining', 'Surfing', 'Rainforest trekking']",Adventure,False,False,True,False,False
Bhutan Variant 48,Bhutan,Asia,603619,63.57009065292473,82.32714902249475,Mountain,"['Trekking', 'Buddhist temples', 'Cultural immersion']",Adventure,False,True,False,False,False
Iceland Variant 49,Iceland,Europe,403186,127.34501064880045,93.2275136901929,Cold,"['Glacier tours', 'Northern lights', 'Volcano visits']",Adventure,False,True,False,True,True
